circuit,log_path,status,n_test,hit_pct_of_truemin10_subset_predmax50,hit_pct_of_truemin5_subset_predmax50,hit_pct_of_truemin10_subset_predmax75,hit_pct_of_truemin5_subset_predmax75,hit_pct_of_truemin10_subset_predmax80,hit_pct_of_truemin5_subset_predmax80
ac97_ctrl,log/ac97_ctrl.log,ok,255,7.692308,15.384615,26.923077,23.076923,30.769231,30.769231
adder,log/adder.log,ok,320,53.125,81.25,75.0,87.5,75.0,87.5
aes,log/aes.log,ok,741,2.666667,0.0,20.0,15.789474,24.0,21.052632
aes_secworks,log/aes_secworks.log,ok,246,24.0,15.384615,48.0,46.153846,68.0,53.846154
arbiter,log/arbiter.log,ok,322,0.0,0.0,0.0,0.0,0.0,0.0
bar,log/bar.log,ok,303,12.903226,6.25,38.709677,25.0,41.935484,31.25
cavlc,log/cavlc.log,ok,311,15.625,18.75,62.5,62.5,78.125,81.25
ctrl,log/ctrl.log,ok,886,0.0,0.0,29.213483,22.222222,38.202247,28.888889
dec,log/dec.log,missing_ckpt,,,,,,,
div,log/div.log,ok,318,43.75,37.5,59.375,62.5,65.625,62.5
i2c,log/i2c.log,ok,315,18.75,18.75,28.125,31.25,31.25,31.25
int2float,log/int2float.log,ok,324,21.212121,11.764706,42.424242,35.294118,51.515152,47.058824
log2,log/log2.log,ok,316,12.5,25.0,50.0,50.0,53.125,50.0
max,log/max.log,ok,544,3.636364,3.571429,14.545455,14.285714,32.727273,35.714286
mem_ctrl,log/mem_ctrl.log,ok,317,0.0,0.0,3.125,0.0,3.125,0.0
multiplier,log/multiplier.log,ok,319,40.625,37.5,68.75,68.75,75.0,75.0
or1200,log/or1200.log,ok,330,3.030303,5.882353,39.393939,47.058824,54.545455,64.705882
priority,log/priority.log,ok,319,0.0,0.0,15.625,0.0,15.625,0.0
router,log/router.log,ok,328,18.181818,11.764706,48.484848,41.176471,60.606061,58.823529
sin,log/sin.log,ok,298,26.666667,33.333333,56.666667,60.0,70.0,66.666667
sqrt,log/sqrt.log,ok,319,25.0,25.0,43.75,43.75,53.125,62.5
square,log/square.log,ok,310,48.387097,62.5,67.741935,68.75,74.193548,81.25
voter,log/voter.log,ok,322,27.272727,35.294118,63.636364,76.470588,66.666667,82.352941
